GUÍA DEL USUARIO: SE ANEXAN DATOS DE AVISOS DE ARRIBO DE ESPECIES PESQUERAS CAPTURADAS EN MÉXICO DEL AÑO 2014. LAS ENTIDADES FEDERATIVAS SE ORDENAN ALFABETICAMENTE. |||||||||||||||
ENTIDAD FEDERATIVA|CLAVE SITIO DE DESEMBARQUE|NOMBRE SITIO DE DESEMBARQUE|LUGAR DE CAPTURA|CLAVE LUGAR DE CAPTURA|CLAVE OFICINA|OFICINA|MES|AÑO|NOMBRE PRINCIPAL|CLAVE ESPECIE|NOMBRE ESPECIE|PESO DESEMBARCADO|PESO VIVO|VALOR|LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|JULIO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|250|250|7500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|OCTUBRE|2014|CARPA|2091411H|CARPA ENT. FCA.|200|200|5000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|OCTUBRE|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|350|350|10500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|DICIEMBRE|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|250|250|7500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|DICIEMBRE|2014|CARPA|2091411H|CARPA ENT. FCA.|200|200|4000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA LOS CAÃ‘OS (VENTANILLAS)|101005|101|AGUASCALIENTES|FEBRERO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|100|100|3000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA LOS CAÃ‘OS (VENTANILLAS)|101005|101|AGUASCALIENTES|AGOSTO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|150|150|4500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA LOS CAÃ‘OS (VENTANILLAS)|101005|101|AGUASCALIENTES|ABRIL|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|100|100|3000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA LOS CAÃ‘OS (VENTANILLAS)|101005|101|AGUASCALIENTES|MAYO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|80|80|2400|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA LOS CAÃ‘OS (VENTANILLAS)|101005|101|AGUASCALIENTES|JUNIO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|80|80|2400|SIN LITORAL
