AÑO,ESTADO,MUNICIPIO,LOCALIDAD,RNP_TITULAR,RAZÓN SOCIAL,ZONA_OPERACION,RNP_EMBARCACION,EMBARCACIÓN,MATRÍCULA,PESQUERÍA,PERMISO,FECHA_INICIO,FECHA_TERMINO
2012,SONORA,GUAYMAS,GUAYMAS,2604610010,"SARDINEROS LA PITAHAYOSA, S.A. DE C.V.","DE ACUERDO A LO SEÑALADO EN EL ART. 2° FRACC. III. 8° FRACC. III Y XII DE LA LGPAS, ASI COMO EN LO ESTABLECIDO POR LA CARTA NACIONAL PESQUERA PUBLICADA EN EL D.O.F. EL 02/12/2010, EL AREA DE OPERACION SE CIRCUNSCRIBE A LAS AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL GOLFO DE CALIFORNIA, ASI MISMO SE ATENDRA A LO QUE SEÑALE EL PLAN DE MANEJO PUBLICADO POR EL INASPECA.",844,PROPEMEX PP-1S,2602028723-1,PELAGICOS MENORES,126047793088,2012-11-22,2014-11-21
2012,SONORA,GUAYMAS,GUAYMAS,2604610010,"SARDINEROS LA PITAHAYOSA, S.A. DE C.V.","DE ACUERDO A LO SEÑALADO EN EL ART. 2° FRACC. III. 8° FRACC. III Y XII DE LA LGPAS, ASI COMO EN LO ESTABLECIDO POR LA CARTA NACIONAL PESQUERA PUBLICADA EN EL D.O.F. EL 02/12/2010, EL AREA DE OPERACION SE CIRCUNSCRIBE A LAS AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL GOLFO DE CALIFORNIA, ASI MISMO SE ATENDRA A LO QUE SEÑALE EL PLAN DE MANEJO PUBLICADO POR EL INASPECA.",43703,SELECTA I,2602029023-7,PELAGICOS MENORES,126047793089,2012-11-22,2014-11-21
2012,VERACRUZ,TUXPAN,TUXPAN,3010002669,"K & B TUNA, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL GOLFO DE MEXICO Y MAR CARIBE.,66191,ALBACORE,3001644823-6,TUNIDOS,230106997028,2012-11-21,2016-11-20
2012,VERACRUZ,TUXPAN,TUXPAN,3010002669,"K & B TUNA, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL GOLFO DE MEXICO Y MAR CARIBE.,66209,SKIPJACK,3001644723-3,TUNIDOS,230106997030,2012-11-21,2016-11-20
2012,VERACRUZ,TUXPAN,TUXPAN,3010002669,"K & B TUNA, S.A. DE C.V.",AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL GOLFO DE MEXICO Y MAR CARIBE.,66217,LONGTAIL,3001644923-5,TUNIDOS,230106997029,2012-11-21,2014-11-20
2012,SINALOA,MAZATLÁN,MAZATLAN,2508008634,"PESQUERA BAHIA CONCEPCION, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACÍFICO.,4838,PILAR GARCIA,25032792239,CAMARON DE ALTAMAR,12508012495,2012-11-21,2014-11-20
2012,BAJA CALIFORNIA,ENSENADA,ENSENADA,203007471,"PESQUERA ISLA DE LA GUARDIA, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACÍFICO.,16105,EDUARDO I,0201002523-7,PEZ ESPADA,10203071640,2012-11-21,2014-11-20
2012,SONORA,GUAYMAS,GUAYMAS,203126784,PESQUERA PTACNIK Y PTACNIK S.A. DE C.V.,"AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACÍFICO ESPECÍFICAMENTE EN LA SIGUIENTE ÁREA: ZONA DELIMITADA AL NORTE POR LA FRONTERA CON USA Y HACIA EL SUR POR UNA LÍNEA IMAGINARIA QUE PASARÍA POR LOS PUNTOS DEFINIDOS POR LA SIGUIENTES COORDENADAS: 28° 36' 51.87"" L.N.  115° 30' 00.00"" L.W. (SOBRE LA COSTA DE B.C.) Y POR 28° 45' 00.00"" L.N.  117° 00' 00.00"" L.W (MAR ADENTRO)",24257,PROPEMEX DP-1S,2602055923-4,PELAGICOS MENORES,102030793087,2012-11-21,2014-11-20
2012,OAXACA,SALINA CRUZ,SALINA CRUZ,2508011752,RANULFO GARCIA ARANDA,AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACÍFICO,43919,CALISUREÑO V,2503200823-5,PEZ ESPADA,10203071608,2012-11-21,2014-11-20
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508016140,"ATUNES, S.A. DE C.V.","AGUAS DE JURISDICCION FEDERAL DEL LITORAL DEL OCEANO PACIFICO, ESPECIFICAMENTE EN LA ZONA DELIMITADA AL NORTE POR LA FRONTERA CON USA Y HACIA EL SUR POR UNA LINEA IMAGINARIA QUE PASARIA POR LOS PUNTOS DEFINIDOS POR LAS SIGUIENTES COORDENADAS 28° 36' 51.87"" L.N. 115° 30' 00"" L.W. (SOBRE LA COSTA DE BAJA CALIFORNIA) Y POR 28° 45' 00.00"" L.N. 117° 00' 00.00"" L.W. (MAR ADENTRO).",927,SAN RAFAEL,2503168033-3,PELAGICOS MENORES,125080793084,2012-11-20,2014-11-19
