AÑO ,ESTADO,MUNICIPIO,LOCALIDAD, RNP TITULAR,TITULAR,PESQUERIA,FECHA INICIO,FECHA TERMINO,N°  EMB. ,NOMBRE EMBARCACIÓN,MATRICULA,ZONA DE PESCA
2012,NAYARIT,SAN BLAS,SAN BLAS,1802000966,"SOC. COOP. SAN BLAS Y BOCA DEL ASADERO, S.C. DE R.L. DE C.V.",OSTION DE ROCA,06-08-12,06-07-16,3,VARIAS,,"AGUAS NACIONALES DEL LITORAL DEL ESTADO DE NAYARIT, DESDE EL BANCO DE OSTIÓN, UBICADO EN LA PIEDRA DEL ASADERO COORD. UTM 446484.15 E Y 2387094.23 N HASTA EL BANCO DENOMINADO EL ESPIGONSITO, UBICADO EN LA ZONA DE LAS ISLITAS CON COORD. UTM 474532 EN EL MPIO. DE SAN BLAS NAYARIT"
2012,NAYARIT,SAN BLAS,SAN BLAS,1802000966,"SOC. COOP. SAN BLAS Y BOCA DEL ASADERO, S.C. DE R.L. DE C.V.",CAMARON DE ESTERO,09-12-12,09-11-16,3,VARIAS,,"AGUAS DE JURISDICCIÓN FEDERAL DE LOS ESTEROS DENOMINADOS: EL POZO, SAN CRISTOBAL Y LAS LAGUNAS LOS PERICOS, LOS NEGROS, LOS PÁJAROS, LA TRONCONUDA, POZO DEL AHOGADO Y VENA DEL DIABLO, EN EL MUNICIPIO DE SAN BLAS, ESTADO DE NAYARIT"
2012,MICHOACAN,AQUILA,LA MANZANILLA,1607000302,"SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA COSTA DE MICHOACAN, S.C. DE R.L. DE C.V.",ESCAMA MARINA,11-05-12,11-04-16,10,,,
2012,MICHOACAN,AQUILA,PICHILINGUILLO,1607000468,"SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA LA VALENCIANA, S.C.L.",ESCAMA MARINA,11-05-12,11-04-16,10,VARIAS,,"LITORAL DEL PACIFICO, COSTA DE MICHOACAN"
2012,MICHOACAN,AQUILA,FARO DE BUCERIAS,1607000153,"SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA MOTIN DEL ORO, S.C.L.",LANGOSTA,11-05-12,11-04-16,10,VARIAS,,"LITORAL DEL PACIFICO, COSTA DE MICHOACAN"
2012,MICHOACAN,BRISEÑAS,PASO DE HIDALGO,1608001119,"SOCIEDAD COOPERATIVA GRUPO RIO Y LAGO DE CHAPALA, S.C. DE R.L.",ESCAMA DE AGUA DULCE,11-05-12,11-04-16,28,VARIAS,,"LAGO DE CHAPALA, RIO DUERO Y RIO LERMA"
2012,NAYARIT,SAN BLAS,SAN BLAS,1802001808,"SOCIEDAD COOPERATIVA INSURGENTE MERCADO, S.C. DE R.L. DE C.V.",ESCAMA MARINA,02-03-12,02-02-17,3,VARIAS,,AGUAS NACIONALES DEL LITORAL DEL ESTADO DE NAYARIT
2012,NAYARIT,TECUALA,TECUALA,1803000528,"SOCIEDAD COOPERATIVA NORTE DE NAYARIT, S.C. DE R.L. DE C.V.",ESCAMA MARINA,04-16-12,04-15-17,6,VARIAS,,"AGUAS NACIONALES DE LAS LAGUNAS LAS GARZAS, EL CHAGUIN, LAS MULAS, EL RINCÓN, CALIXTRA Y EN LOS ESTEROS: CHURGA, CONCHAS, GUASIMA, PERICOS Y PUERTA DEL RIO EN MUNICIPIO DE TECUALA, NAYARIT"
2012,NAYARIT,SANTIAGO IXCUINTLA,PALMAR DE CUAUTLA,1803000494,"SOCIEDAD COOPERATIVA PALMAR DE CUAUTLA, S.C. DE R.L. DE C.V.",ESCAMA MARINA,04-18-12,04-17-16,1,DEYSY,1801223313-3,AGUAS NACIONALES DEL LITORAL DEL ESTADO DE NAYARIT
2012,MICHOACAN,AQUILA,MARUTA,1607000294,"SOCIEDAD COOPERTAIVA DE PRODCCION PESQUERA BAHIA PLAYA LA VENTANA, S.C.L.",LANGOSTINO,11-05-12,11-04-16,9,VARIAS,,"LITORAL DEL PACIFICO, COSTA DE MICHOACAN"
2012,GUERRERO,COYUCA DE BENITEZ,EL ZAPOTE,1201007653,"SOCIEDAD DE PRODUCCIÓN PESQUERA NUEVA VIDA, SC DE RL DE CV",ESCAMA DE AGUA DULCE,09-19-12,09-18-16,6,VARIAS,,LAGUNA DE MITLA
2012,SINALOA,CULIACAN,EL ROBALAR,2501005845,SPENCER ALEXANDER FLORES ALVARADO,JAIBA,05-24-12,05-23-16,6,VARIAS,,"BAHÍA DE ALTATA Y ENSENADA DEL PABELLON, EN EL ESTADO DE SINALOA"
2012,BAJA CALIFORNIA,ROSARITO,EL MORRO ,203008198,U.P.P. AUT PESC MORRO ROSARITO S. DE R.L. DE C.V.,CANGREJO,11-06-12,11-05-16,10,VARIAS,,COORDENADAS
2012,NAYARIT,COMPOSTELA,CHACALA,1801001411,UBALDO RIVERA JIMENEZ,ESCAMA MARINA,06-21-12,06-20-16,1,EL DORADO,180123813-6,AGUAS NACIONALES DEL LITORAL DEL ESTADO DE NAYARIT
2012,GUERRERO,ACAPULCO DE JUAREZ,SAN PEDRO LAS PLAYAS,1201000369,"UN NUEVO ORIZONTE DE SAN PEDRO LAS PLAYAS, S.C. DE R.L. DE C.V.",ESCAMA DE AGUA DULCE,08-29-12,08-28-16,2,VARIAS,,LAGUNA DE TRES PALOS
2012,BAJA CALIFORNIA,ENSENADA,POPOTLA,203007901,"UPP PESCADORES RIBEREÑOS DE BAJA CALIFORNIA, SPR DE RL",CANGREJO,11-06-12,11-05-16,2,VARIAS,,COORDENADAS
2012,GUERRERO,MARQUELIA,BARRA DE TECOANAPA,1205002098,"VERDADEROS PESCADORES DE LA BARRA DE TECOANAPA, SC DE RL DE CV",ESCAMA,07-19-12,07-18-16,4,VARIAS,,LITORAL DEL ESTADO DE GUERRERO
2012,COLIMA,MANZANILLO,EL COLOMO,601003098,VICTOR MANUEL GARCIA SANCHEZ,ESCAMA DE AGUA DULCE,09-28-12,09-26-16,1,MARIA,,LAGUNA DE CUYUTLAN
2012,GUERRERO,TECPAN DE GALEANA,TECPAN DE GALEANA,1204002222,VICTOR MANUEL SERNA MURGA,LANGOSTINO,10-09-12,10-08-17,0,NINGUNA,,RIO TECPAN
2012,TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,TIBURON,04-27-12,04-30-17,1,YOLANDA II,2803002513-5,GOLFO DE MEXICO 
2012,TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,TIBURON,04-27-12,04-30-17,1,YOLANDA IV,2803002213-3,GOLFO DE MEXICO 
2012,TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,TIBURON,04-27-12,04-30-17,1,YOLANDA V,2803002313-6,GOLFO DE MEXICO 
2012,TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,04-27-12,04-26-17,1,YOLANDA II,2803002513-5,GOLFO DE MEXICO 
2012,TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,04-27-12,04-26-17,1,YOLANDA IV,2803002213-3,GOLFO DE MEXICO 
2012,TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,04-27-12,04-26-17,1,YOLANDA V,2803002313-6,GOLFO DE MEXICO 
2012,TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,04-27-12,04-26-17,1,YOLANDA VI,280345213-3,GOLFO DE MEXICO 
2012,TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,04-27-12,04-26-17,1,YOLANDA VII,2803043013-5,GOLFO DE MEXICO 
2012,TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,04-27-12,04-26-17,1,YOLANDA VIII,2803064813-8,GOLFO DE MEXICO 
2012,TAMAULIPAS,SOTO LA MARINA,POBLADO LA PESCA,2810000519,YOLANDA CASADOS ESTRADA,JAIBA,04-27-12,04-26-17,1,YOLANDA IX,2803067613-8,GOLFO DE MEXICO 
