Area_adscripcion|Apellido_materno|Apellido_materno|Nombre|Nombre_puesto_en_maestro
TAMAULIPAS|ESCAMILLA|CRUZ|MIGUEL ANGEL|OFICIAL DE PESCA
SINALOA|CASTILLA LOUSTAUNAU|CAMPOSECO|GABRIEL EDUARDO|OFICIAL DE PESCA
TAMAULIPAS|GAMBOA|AGUIRRE|PEDRO|OFICIAL DE PESCA
TAMAULIPAS|MENDEZ|GARCIA|EDWIN|OFICIAL DE PESCA
VERACRUZ|BENAVIDES|BALLESTEROS|JOSE ADRIAN|OFICIAL DE PESCA
SONORA|MEZA|BOJORQUEZ|PABLO FERNANDO|OFICIAL DE PESCA
D.F.|OROPEZA|VILLALOBOS |EDITH|OFICIAL DE PESCA
D.F.|CALDERON|JIMENEZ|GUADALUPE|OFICIAL DE PESCA
TAMAULIPAS|SANTIAGO|RANGEL|FERNANDO|OFICIAL DE PESCA
VERACRUZ|LÓPEZ|MUÑÓZ|JOSÉ HUGO|OFICIAL DE PESCA
CAMPECHE|RENDON|LOPEZ|GILDARDO ESTEBAN|OFICIAL DE PESCA
VERACRUZ|PAREDES|ESCALONA|EDUARDO|OFICIAL DE PESCA
D.F.|PEDRAZA|PALESTINA|XOCHITL|OFICIAL DE PESCA
VERACRUZ|BRITO|TORRES|ISIDORO|OFICIAL DE PESCA
VERACRUZ|TORRES|CRÚZ|GABRIEL|OFICIAL DE PESCA
VERACRUZ|HAW|KUC|RAUL ARMANDO|OFICIAL DE PESCA
VERACRUZ|RIVERA|GUZMÁN|VINICIO|OFICIAL DE PESCA
VERACRUZ|SÁNCHEZ|VIVANCO|JUAN JOSÉ|OFICIAL DE PESCA
YUCATAN|MENDEZ|RODRIGUEZ|JOSE RICARDO|OFICIAL DE PESCA
YUCATAN|HERNANDEZ|YURIAR|ERNESTO  |OFICIAL DE PESCA
YUCATAN|RAMOS |ROMERO|PEDRO FABIAN|OFICIAL DE PESCA
YUCATAN|ZAMORANO|ACOSTA|CESAR|OFICIAL DE PESCA
YUCATAN|SARABIA|CAMPOS|ZAJIR ENRIQUE|OFICIAL DE PESCA
YUCATAN|QUEN|ESCALANTE|MARIO ALEJANDRO|OFICIAL DE PESCA
YUCATAN|HERNANDEZ|DOMINGUEZ|HECTOR DANIEL|OFICIAL DE PESCA
YUCATAN|HERNANDEZ|BAQUEIRO|JUAN ANDRÉS|OFICIAL DE PESCA
YUCATAN|PRECIADO|RUBIO|LUIS ANTONIO|OFICIAL DE PESCA
YUCATAN|PEREZ |OSUNA|JESUS OMAR|OFICIAL DE PESCA
SONORA|ZUÑIGA|DE LA ROSA|EDUARDO|OFICIAL DE PESCA
