Folio_denuncia,Fecha_captura,Estado,Municipio,Localidad,Lugar_conocido,Tipo_denuncia,Instrumento_utilizado,Estatus,Especie
26140150,06/08/2014,Sonora,San Ignacio Río Muerto,San Ignacio Río Muerto,BAHIA DE LOBOS,Captura ilegal,Embarcación Menor,Atendido,DORADO
31140151,08/08/2014,Yucatán,Progreso,Progreso,UAYMITUN,Captura ilegal,Embarcación Menor,Atendido,PEPINO DE MA
26140152,08/08/2014,Sonora,Hermosillo,El Colorado,EL CHOYUDO Y EL COLORADO,Captura ilegal,Embarcación Menor,Atendido,CAMARON
4140153,11/08/2014,Campeche,Campeche,Lerma,A UN COSTADO DEL RESTAURANT LA UVA,Posesión ilegal,Embarcación Menor,Atendido,PULPO
25140154,11/08/2014,Sinaloa,Guasave,San José de la Brecha,ESTERO WACHAPORI,Captura ilegal,Embarcación Menor,Atendido,OTRAS
31140155,12/08/2014,Yucatán,Progreso,Chicxulub (Chicxulub Puerto),ISLA ALACRANES,Captura ilegal,Embarcación Mayor,Atendido,TIBURON
31140156,12/08/2014,Yucatán,Mérida,Mérida,ALACRANES,Captura ilegal,Método de pesca,Atendido,TIBURON
31140157,13/08/2014,Yucatán,Progreso,Progreso,YUCALPETEN,Captura ilegal,Embarcación Menor,Atendido,TIBURON
31140158,13/08/2014,Yucatán,Progreso,Progreso,YUCALPETEN,Captura ilegal,Embarcación Menor,Atendido,TIBURON
18140159,13/08/2014,Nayarit,Tecuala,El Macho Viejo,EL MACHO,Comercialización ilegal,Embarcación Menor,Atendido,CAMARON
31140160,13/08/2014,Yucatán,Mérida,Mérida,YUCATÁN,Captura ilegal,Otros,Atendido,TIBURON
31140161,13/08/2014,Yucatán,Mérida,Mérida,YUCATÁN,Captura ilegal,Otros,Atendido,TIBURON
26140162,17/08/2014,Sonora,Hermosillo,Bahía de Kino,EL COLORADO,Captura ilegal,Embarcación Menor,Atendido,DORADO
26140163,17/08/2014,Sonora,Guaymas,Pótam,POTAM,Captura ilegal,Vehiculo,Atendido,-1
26140164,17/08/2014,Sonora,Guaymas,Pótam,POTAM,Captura ilegal,Vehiculo,Atendido,-1
26140165,17/08/2014,Sonora,Guaymas,Pótam,POTAM,Captura ilegal,Vehiculo,Atendido,-1
26140166,19/08/2014,Sonora,San Ignacio Río Muerto,Bahía de Lobos,BAHIA DE LOBOS,Captura ilegal,Embarcación Menor,Atendido,CAMARON
26140167,24/08/2014,Sonora,Guaymas,Pótam,CHOYAL,Comercialización ilegal,Método de pesca,Atendido,CAMARON
16140168,25/08/2014,Michoacán,Lázaro Cárdenas,Ciudad Lázaro Cárdenas,DESEMBOQUE DEL RIO BALSAS,Captura ilegal,Embarcación Menor,Atendido,LANGOSTA
16140169,25/08/2014,Michoacán,null,null,DESEMBOQUE DEL RIO BALSAS,Captura ilegal,Embarcación Menor,Atendido,LANGOSTA
25140170,25/08/2014,Sinaloa,Ahome,Topolobampo,MUELLE DE FONATUR,Captura ilegal,Arte de pesca,Atendido,CAMARON
14140171,26/08/2014,Jalisco,Tuxcueca,Puerto Corona,SAN CRISTOBAL,Otros,Otros,Atendido,-1
14140172,27/08/2014,Jalisco,Tomatlán,Presa Cajón de Peña (La Presa),CENTRO,Captura ilegal,Embarcación Menor,Atendido,TRUCHA
4140173,28/08/2014,Campeche,Campeche,San Francisco de Campeche,SAN LORENZO,Captura ilegal,Vehiculo,Atendido,PULPO
26140174,29/08/2014,Sonora,Cajeme,Presa Álvaro Obregón,OVIACHIC,Captura ilegal,Embarcación Menor,Atendido,MOJARRA
25140175,29/08/2014,Sinaloa,Culiacán,Eldorado,LAS ARENITAS,Captura ilegal,Embarcación Menor,Atendido,CAMARON
2140176,29/08/2014,Baja California,Mexicali,San Felipe,PARTE NORTE DE SAN FELIPE,Captura ilegal,Embarcación Menor,Atendido,ALMEJA
17140177,29/08/2014,Morelos,Miacatlán,Miacatlán,LAGOS COATETELCO Y EL RODEO,Captura ilegal,Embarcación Menor,Atendido,MOJARRA
18140178,29/08/2014,Nayarit,Tecuala,Tecuala,PASO HONDO,Captura ilegal,Arte de pesca,Atendido,CAMARON
2140179,02/09/2014,Baja California,Ensenada,Punta Prieta,LAGUNA MANUELA,Captura ilegal,Embarcación Menor,Atendido,CAZON
25140180,03/09/2014,Sinaloa,Navolato,Dautillos,DAUTILLOS,Captura ilegal,Embarcación Menor,Atendido,CAMARON
26140181,03/09/2014,Sonora,San Ignacio Río Muerto,Bahía de Lobos,BAHIA DE LOBOS,Otros,Embarcación Menor,Atendido,CAMARON
25140182,03/09/2014,Sinaloa,Mazatlán,Lomas de Monterrey,DIQUE NO. III,Captura ilegal,Embarcación Menor,Atendido,MOJARRA
30140183,03/09/2014,Veracruz,Alvarado,Alvarado,ALVARDO,Captura ilegal,Arte de pesca,Atendido,OTRAS
26140184,06/09/2014,Sonora,Huatabampo,Las Bocas,LAS BOCAS,Captura ilegal,Método de pesca,Atendido,CAMARON
26140185,08/09/2014,Sonora,Hermosillo,El Colorado,SAN AGUSTIN,Captura ilegal,Arte de pesca,Atendido,DORADO
18140186,08/09/2014,Nayarit,Tecuala,Tecuala,TECUALA,Captura ilegal,Embarcación Menor,Atendido,CAMARON
2140187,09/09/2014,Baja California,Ensenada,Jatay,BAJAMAR-JATAY-JOVITA,Captura ilegal,Embarcación Menor,Atendido,LANGOSTA
2140188,09/09/2014,Baja California,Ensenada,Ensenada,PLAYA HERMOSA,Captura ilegal,Embarcación Mayor,Atendido,-1
25140189,12/09/2014,Sinaloa,Mazatlán,Lomas de Monterrey,DIQUE NO. III,Captura ilegal,Embarcación Menor,Atendido,MOJARRA
18140190,18/09/2014,Nayarit,San Blas,La Chiripa,ESTERO DE CALLEJONES,Captura ilegal,Arte de pesca,Atendido,CAMARON
