Año,Estado,Municipio,Localidad,Lugar_Conocido,Estatus
2012,Quintana Roo,isla Mujeres,tola Mujeres,"RESTAURANTE ""COKTELERIA MININOS""",Atendido
2012,Quintana Roo,Othón P. Blanco,Raudales,LAGUNA GUERRERO,Atendido
2012,Quintana Roo,Solidaridad,Playa de! Carmen,ARRECIFE PARAISO,Atendido
2012,San Luis Potosí,Rayón,La Luz,"PRESA DE AMOLADERAS, 0 PRESA DE LA LUZ",Atendido
2012,Sinaloa,Navolato,Dautillos,DAUTILLOS,Atendido
2012,Sinaloa,Escuínapa,Los Ángeles,PLAYA ANGEL,Atendido
2012,Sinaloa,Mazatlán,Mazatlán,EL FARO,Atendido
2012,Sinaloa,Navolato,Al tata,BOCABARRA DE LA TONINA,Atencfido
2012,Sinaloa,Escuínapa,Teacapán,QUESO YPMT,Atendido
2012,Sinaloa,Cullacán,Cullacán Rosales,"DAUTILLOS, YAMETO, NAVOLATO",Atendido
2012,Sinaloa,Mazatíán,La Angostura,LA PUNTILLA,AtencSdo
2012,Sinaloa,Cullacán,Ejido Mezquitillo (Chapateado),LAGUNA DE LAS HIGUERAS,AtencSdo
2012,Sinaloa,Escuínapa,Teacapán,EL QUESO Y COPERATIVA,Atendido
2012,Sinaloa,Culiacán,,DIQUE LA PRIMAVERA,Atendido
2012,Sinaloa,Rosario,Chametia,LAGUNA DE LAS CABRAS,Atendido
2012,Sinaloa,Guasave,El Huitussl,EL HUITUSSI,Atendido
2012,Sinaloa,Mazatián,Mazatián,"ESCOLLERAS, CRESTON",Atendido
2012,Sinaloa,Angostura,La Reforma,BAHIA SANTA MARIA,Atendido
2012,Sinaloa,Angostura,La Reforma,LA REFORMA,Atendido
2012,Sinaloa,Angostura,La Reforma,LA REFORMA Y DAUTILLOS,Atendido
2012,Sinaloa,Rosario,Chametia,LA BOCA DE CHAMETLA,Atendido
2012,Sinaloa,Culiacán,Mezqultlllo,LAGUNA LAS HIGUERAS,Atendido
2012,Sinaloa,Mazatián,Mazatián,MERCADO DE LA JUAREZ,Atendido
2012,Sinaloa,Angostura,La Reforma,LA REFORMA,Atendido
2012,Sinaloa,Culiacán,Culiacán Rosales,LA NUEVA VIGA D. F.,Atendido
2012,Sonora,Guaymas,El Álamo,BAHIA DE GÜIRA,Atendido
2012,Sonora,Puerto Peñasco,Puerto Peñasco,ISLA SAN JORGE,Atendido
2012,Sonora,Guaymas,Heroica Guaymas,BAHIA LOBOS,Atendido
2012,Sonora,Guaymas,Heroica Guaymas,MIRAMAR,Atendido
2012,Sonora,Puerto Peñasco,Puerto Peñasco,"LA PINTA, BAHIA SAN JORGE Y EJIDO 15 DE SEPTIEMBRE",Atendido
2012,Sonora,San Ignacio Río Muerto,San Ignacio Rio Muerto,SAN IGNACIO RIO MUERTO,Atenddo
2012,Sonora,Caborca,Desemboque,DESEMBOQUE,Atendido
2012,Sonora,Huatabampo,Las Bocas,PLAYA SUR,Atendido
2012,Sonora,Huatabampo,Las Bocas,CASA 144,Atendido
2012,Sonora,Huatabampo,Las Bocas,PLAYA SUR LAS BOCAS,Atendido
2012,Sonora,Huatabampo,Las Bocas,PLAYA SUR,Atendido
2012,Sonora,Navojoa,Navojoa,LAS BOCAS MUNICIPIO DE HUATABAMPO SONORA,Atendido
2012,Sonora,Cajeme,Quetchehueca,PLAYA SAN JOSE DE LA ISLA HUIVULAI,Atendido
2012,Sonora,Caborca,Desemboque,HASTA EL JAWUEI,Atendido
2012,Sonora,Caborca,Ei Jagüey,JAGUEYO LA 15,Atendido
2012,Sonora,Huatabampo,Yavaros (isla (as Viejas),PLAYA HUATABAMPITO,Atendido
2012,Sonora,Huatabampo,Moroncárit,SANTABARBARA,Atendido
2012,Sonora,Caborca,Heroica Caborca,BAHIA SAN JORGE,Atendido
2012,Sonora,Empalme,Empalme,CRUZ DE PIEDRA,Atendido
2012,Sonora,Empalme,Empalme,CRUZ DE PIEDRA,Atendido
2012,Sonora,Huatabampo,Camahuiroa,PLAYA,Atendido
2012,Sonora,Puerto Peñasco,Puerto Peñasco,"LA PINTA, LA CHOYA, BAHIA SN JORGE",Atendido
2012,Sonora,Puerto Peñasco,San Jorge,LA PfNTA,Atendido
2012,Sonora,Puerto Peñasco,Puerto Peñasco,LA PINTA,Atendido
2012,Sonora,Empalme,Empalme,MUELLES,Atendido
2012,Sonora,San Ignacio Rio Muerto,San Ignacio Río Muerto,MELAGOS,Atendido
2012,Sonora,Puerto Peñasco,Puerto Peñasco,TODO PEÑASCO,Atendido
2012,Tamaulipas,Victoria,Femando Monsiváis Hernández,PRESA VICENTE GUERRERO,Atendido
2012,Tamaullpas,Tampico,Tampico,TAMPICO,Atendido
2012,Veracruz,Pueblo Viejo,Anáhuac,SECTOR EL CONCHERO,Atendido
2012,Veracruz,Tuxpan,Túxpam de Rodríguez Cano,EN TODO EL RÍO TUXPAN,Atendido
2012,Veracruz,Pueblo Viejo,Cd. Cuauhtémoc,LAGUNA DE PUEBLO VIEJO,Atendido
2012,Veracruz,Pueblo Viejo,Cd. Cuauhtémoc,PUEBLO VIEJO,Atendido
2012,Veracruz,Pueblo Viejo,Anáhuac,EL PUEBLO,Atendido
2012,Veracruz,Pueblo Viejo,Anáhuac,EN LA LAGUNA DE PUEBLO VIEJO,Atendido
2012,Veracruz,Pueblo Viejo,Cd. Cuauhtémoc,LAGUNA DE PUEBLO VIEJO,Atendido
2012,Veracruz,Coatzacoaicos,Coatzacoaicos,RIVERA DE NANCHÍTAL VER.,Atendido
2012,Veracruz,Tamiahua,Tamiahua,LAGUNA DE TAMIAHUA,Atendido
2012,Yucatán,Celestún,Celestún,CELESTUN,Atendido
2012,Yucatán,Celestún,Celestún,PUERTO DE CELESTÚN,Atendido
2012,Yucatán,Celestún,Celestún,PUNTA CAMBALAN,Atendido
2012,Yucatán,Celestún,Celestún,PUERTO DE ABRIGO,Atendido
2012,Yucatán,Celestún,Celestún,PUNTA SAN JOAQUIN,Atendido
2012,Yucatán,San Felipe,San Felipe,EN LA LOCALIDAD,Atendido
2012,Yucatán,San Felipe,San Felipe,SAN FEUPE,Atendido
2012,Yucatán,Tizimín,El Cuyo,MUELLE DEL PUERTO,Atendido
2012,Yucatán,Celestún,Celestún,CALLE 10 CERCA DEL CEMENTERIO,Atendido
2012,Yucatán,Celestún,Celestún,AL REDEDORES,Atendido
2012,Yucatán,Celestún,Celestún,A LADO DEL FARO POR LOS COQUITOS,Atendido
2012,Yucatán,Yobaín,Chabihau,CHABIHAU,Atendido
2012,Yucatán,DzNam de Bravo,Dzilam de Bravo,MALECON,Atendido
2013,Aguaseaiientes,Aguaseaiientes,Aguaseaiientes,PLUTARCO EUAS CALLES,Atendido
2013,Baja California,Ensenada,Rancho el Barril,EL BARRIL,Atendido
2013,Baja California,Ensenada,Ensenada,MUELLE ENSENADA,Atendido
2013,Baja California,Ensenada,San Quintín,ISLA SAN MARTIN,Atendido
2013,Baja California Sur,Comondú,Puerto San Carlos,PUERTO SAN CARLOS,Atendido
2013,Baja California Sur,Comondú,Puerto San Carlos,BAJO DE CALIFORNIA,Atendido
2013,Baja California Sur,La Paz,La Paz,CENTENARIO BAY,Atendido
2013,Campeche,CalkinJ,isla Arena,MALECON DE ISLA ARENA,Atendido
2013,Campeche,Champotón,Champotón,"CHAMPOTON, CAMPECHE",Atendido
2013,Campeche,Campeche,San Francisco de Campeche,TODA LA COSTERA DEL EDO DE CAMPECXHE,Atendido
2013,Campeche,Campeche,San Francisco de Campeche,RIO VERDE,Atendido
2013,Campeche,Champotón,Champotón,"A ÓRILLAS DE LA PLAYA,PUNTA XEN, LA JOYA .ETC.",Atendido
2013,Campeche,Carmen,Ciudad del Carmen,LAGUNA DE TERMtMINOS,Atendido
2013,Campeche,Calkinf,isla Arena,ISLA ARENAS,Atendido
2013,Chiapas,Pijijiapan,Pijijiapan,LAYAS DE PIJIJIAPAN CHIAPAS,Atendido
2013,Chihuahua,Chihuahua,Fraccionamiento Presa Chihuahua,PRESA CHIHUAHUA,Atendido
2013,Chihuahua,Saucillo,La Rosetílla,PRESA ROSETILLA,Atendido
2013,Colima,Manzanillo,Manzanillo,LITORAL DEL PAS1FÍCO,Atendido
2013,Colima,Manzanillo,Tepalcates,ESCOLLERA DE TEPALCATES,Atendido
2013,Colima,Manzanillo,Manzanillo,ESCOLLERA DE TEPALCATES LADO CUYUTLAN,Atendido
2013,Colima,Tecomán,Tecuanlllo (Balneario Tecuanillo),BOCA DEL TECUANILLO,Atendido
2013,Colima,Manzanillo,Manzanillo,MANZANILLO,Atendido
2013,Colima,Manzanillo,Universidad Tecnológica,EL VOLANTIN,Atendido
2013,Colima,Colima,Colima,COUMA,Atendido
2013,Distrito Federal,Coyoacán,Coyoacán,MARQUESA,Atendido
2013,Guerrero,Acapulco de Juárez,Acapulco de Juárez,MALECON,Atendido
2013,Guerrero,Acapulco de Juárez,Acapulco de Juárez,CALETA,Atendido
2013,Jalisco,Tuxcueca,El Tepeguaje,TUXCUECA,Atendido
2013,Jalisco,Clhuatián,Barra de Navidad,BARRA DE NAVIDAD,Atendido
2013,Jalisco,Clhuatián,Barra de Navidad,BARRA DE NAVIDAD,Atendido
