Año,ESTADO,ABULON,AGUA MALA- BOLA DE CANON,ALMEJA,ATUN,CALAMAR,CAMARON,CARACOL,DORADO,ESCAMA GENERAL,JAIBA,LANGOSTA,LISA-LISETA,MERO,OSTIÓN,PEPINO,PICUDOS,PULPO,ROBALO,TIBURON Y RAYAS,OTROS
2011,CHIHUAHUA,0,0,60,405,760,144356,0,0,44714,12,0,0,0,12250,0,0,5505,0,870,472
2011,COAHUILA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,COLIMA,0,0,0,2,0,764,0,10,1222,0,0,0,0,0,0,5,0,0,6,653
2011,DF,42.5,0,192,2680.2,695.47,53087.4,237,3725,681754.81,5226,54,897,0,3144,350,1116,32360.76,627,10067,13303.4
2011,DURANGO,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0
2011,ESTADO DE MEXICO,0,0,111,0,121,702,0,8,329469.7,143,0,11,7,0,0,0,101,40,139,46
2011,GUANAJUATO,0,0,0,0,5,117.5,0,0,1030.3,7,0,0,0,0,0,0,13,0,0,1
2011,GUERRERO,0,0,0,200,0,50.2,0,203,515.5,5,25.83,0,0,0,0,420,0,0,648,0
2011,HIDALGO,0,0,0,0,24,156,0,0,379,0,0,0,0,0,0,0,44,0,0,0
2011,JALISCO,0,0,1364.05,4722.75,49895.54,3298672,166,2063,73589.02,9878,157,0,0,6234.8,110,290,12506,0,0,100674.83
2011,MICHOACAN,0,0,1047,4135,1458,42312,111,0,51289,2056,65,0,0,120,0,436,4996,20,92,15340
2011,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,NAYARIT,0,0,0,0,1512,868699,0,1829,337763,0,0,40,0,925,0,0,1195,0,150,0
2011,NUEVO LEON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,OAXACA,0,0,0,320,208,6104,915,380,9259,1424,0,3585,0,0,0,53,82,640,2092,1672
2011,PUEBLA,0,0,2285,415,1188,9190.5,65.5,85,21521,1133.25,52,20,22,175,0,0,1011.3,1096.5,1558.5,2756.5
2011,QUERETARO,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2011,QUINTANA ROO,0,0,0,0,0,1467,1646,0,3758,481,178,0,22,4,7370,0,3143,0,56,0
2011,SAN LUIS POTOSI,0,0,64,17.89,333.8,2623.06,0,0,8552.86,154,0,150,0,172,0,0,588,0,966,42
2011,SINALOA,0,15830,8480,4983,12344,481922,537,1332,116306,3891,131.6,9331,0,0,0,40,39.4,9,22717,121397.9
2011,SONORA,0,418067,23232,58400,100182,71956,10500,754,228076,22753,1054,100,0,80,4472,250,2030,0,17683,101446
2011,TABASCO,0,0,5,0,0,208,0,0,1270,40,0,300,0,3180,0,0,0,34,0,1102
2011,TAMAUUPAS,0,0,483,0,2608,14344,0,0,3030,38,0,6,0,0,0,0,76,0,0,1139
2011,TLAXCALA,0,0,150,0,278,1338.5,0,0,2382,243.5,0,39,0,15,0,0,21,50,411,77
2011,VERACRUZ,4.5,0,852.2,355,7739.14,48589,1440,0,192324.55,8546.65,11,2840.5,0,2018.2,0,2,1962.1,5869.95,2922,6340.35
2011,YUCATAN,0,0,0,0,82,926,4.4,0,105528,585,89,0,8220.5,0,87753.8,7.5,77836.1,118.5,225.83,65341
2011,ZACATECAS,0,0,0,0,4,953,0,0,4887.5,28,0,0,0,20,0,0,8,0,0,525.84
2012,AGUASCALENTES,0,0,3636,1943,13525,80654.5,0,0,352127.5,3132,22.9,2940,1554,16,0,0,3717,0,6666,18782.5
2012,BAJA CALIFORNIA,434.18,177295,15611,366.66,81721,18446,18413.4,0,94779.2,2641,22147.96,25,0,0,489.5,0,4701,0,10965,44332.97
2012,BAJA CALIFORNIA SUR,0,0,42790,22597.2,1045,1970,602.1,140,7956,6,153,0,0,0,1154,0,37.4,0,14249,0
2012,CAMPECHE,0,0,0,0,0,15693,7655,500,2685,800,807,0,0,0,9092,0,27066,0,181,0
2012,CHIAPAS,0,0,0,0,0,115,0,51.6,0,0,0,0,0,0,0,0,0,0,1067.4,182
2012,CHIHUAHUA,0,0,5,2783,6868,86336,768,0,67358,189,50,2015,0,0,0,0,4000,0,1095,809
2012,COAHUILA,0,0,1190.62,930,1279.6,19086.05,97,4.9,44969.14,329.6,134,3,92.1,194,0,273,2541,55,3387.5,3058
2012,COLIMA,0,0,0,38,1000,55,0,389,811,30.5,0,4,0,0,0,371,9,15,0,0
2012,DF,0,0,1386.8,80,860,6600,467,1392.1,18207,0,100,0,0,0,0,240,754,328,695.5,2579.4
2012,DURANGO,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
2012,ESTADO DE MEXICO,14,0,80,0,113,693,34,0,97889,125,0,30,0,4,0,20,40,50,15,50
2012,GUANAJUATO,0,0,0,0,0,91,0,0,5559,0,120,0,0,0,0,0,0,0,0,0
2012,GUERRERO,0,0,0,3,0,0,20,150,410,0,22,0,0,0,0,447,4,0,150,0
2012,HIDALGO,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0
2012,JALISCO,0,0,3131,592,119659.2,2914669.98,5066,2881,407542.3,28,562,0,0,1,0,20,197205,0,272,80797.65
2012,MICHOACAN,0,0,501,156,19421,43653,23,26,63552,4092,5,0,0,47,0,85,6289,6,1807,2233
2012,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,NAYARIT,0,0,0,400,8305,25557.7,0,2880,50474.5,0,2,1701,0,442250,0,0,4600,553,3125,821
2012,NUEVO LEON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,OAXACA,0,0,0,1,490,3394,28,200,3129,166,8,853,0,0,0,122,509,16,91,1055
2012,PUEBLA,0,0,882,85,2273,7294.12,41,325,24968.25,1546.5,75,0,64,70,0,60,638,137,1508,3232
2012,QUERETARO,0,0,146,0,165,6602,0,60,10392,5,0,0,0,0,0,0,10705,5,7130,200
2012,QUINTANA ROO,0,0,176,0,230,755,440,0,2183,333,80,0,20,30,0,25,68,0,852,26
2012,SAN LUIS POTOSI,0,0,3,0,134,1636.24,3,0,6674.64,98,0,0,0,962,0,0,437,5,154,79.57
2012,SINALOA,0,0,400,25980,1000,12217.2,0,1880,2786,1298,25.9,500,0,600,311,0,0,0,0,804.2
2012,SONORA,0,1009910,717437,4746,35000,136730.5,8546,0,187806,27675,103,0,0,0,225,0,830,0,8305,35196
2012,TABASCO,0,0,0,0,50,3630,0,0,863,0,0,0,0,580,0,0,0,290,0,0
2012,TAMAUUPAS,0,0,0,0,0,31260,0,0,1016,222,480,0,0,0,0,0,0,0,0,0
2012,TLAXCALA,0,0,111,0,214,4958.5,33,0,2812,266,0,321,0,30,0,0,28,51,94,95
2012,VERACRUZ,1,0,343,307,3728,13492.5,987,0,19995.5,11216.4,123,9569.8,0,90,0,0,1555,1816.4,320,7057.5
2012,YUCATAN,0,0,0,0,1300,877,230,0,134106,1200,635,200,10162,36,38584.5,0,79709,0,8950,8776
2012,ZACATECAS,0,0,20,12,348,2962.5,0,0,6121.73,70,0,0,0,58.4,0,0,330,0,0,532.76
